LECROYWS3054,15236,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,18-Dec-2017 17:50:27,0                 
Time,Ampl
-0.001020051,9
-0.001019951,9
-0.001019851,9
-0.001019751,9
-0.001019651,9
-0.001019551,9
-0.001019451,9
-0.001019351,9
-0.001019251,9
-0.001019151,9
-0.001019051,9
-0.001018951,9
-0.001018851,9
-0.001018751,9
-0.001018651,9
-0.001018551,9
-0.001018451,9
-0.001018351,9
-0.001018251,9
-0.001018151,9
-0.001018051,9
-0.001017951,9
-0.001017851,9
-0.001017751,9
-0.001017651,9
-0.001017551,9
-0.001017451,9
-0.001017351,9
-0.001017251,9
-0.001017151,9
-0.001017051,9
-0.001016951,9
-0.001016851,9
-0.001016751,9
-0.001016651,9
-0.001016551,9
-0.001016451,9
-0.001016351,9
-0.001016251,9
-0.001016151,9
-0.001016051,9
-0.001015951,9
-0.001015851,9
-0.001015751,9
-0.001015651,9
-0.001015551,9
-0.001015451,9
-0.001015351,9
-0.001015251,9
-0.001015151,9
-0.001015051,9
-0.001014951,9
-0.001014851,8.66667
-0.001014751,9
-0.001014651,9
-0.001014551,9
-0.001014451,9
-0.001014351,9
-0.001014251,9
-0.001014151,9
-0.001014051,9
-0.001013951,9
-0.001013851,9
-0.001013751,9
-0.001013651,9
-0.001013551,9
-0.001013451,9
-0.001013351,9
-0.001013251,9
-0.001013151,9
-0.001013051,9
-0.001012951,9
-0.001012851,9
-0.001012751,9
-0.001012651,9
-0.001012551,9
-0.001012451,9
-0.001012351,9
-0.001012251,9
-0.001012151,9
-0.001012051,9
-0.001011951,9
-0.001011851,9
-0.001011751,9
-0.001011651,9
-0.001011551,9
-0.001011451,9
-0.001011351,9
-0.001011251,9
-0.001011151,9
-0.001011051,9
-0.001010951,9
-0.001010851,9
-0.001010751,9
-0.001010651,9
-0.001010551,9
-0.001010451,9
-0.001010351,9
-0.001010251,9
-0.001010151,9
-0.001010051,9
-0.001009951,9.33333
-0.001009851,9
-0.001009751,9
-0.001009651,9
-0.001009551,9
-0.001009451,9
-0.001009351,9
-0.001009251,9
-0.001009151,9
-0.001009051,9
-0.001008951,9
-0.001008851,9
-0.001008751,9
-0.001008651,9
-0.001008551,9
-0.001008451,9
-0.001008351,9
-0.001008251,9
-0.001008151,9
-0.001008051,9
-0.001007951,9
-0.001007851,9
-0.001007751,9
-0.001007651,9
-0.001007551,9
-0.001007451,9
-0.001007351,9
-0.001007251,9
-0.001007151,9
-0.001007051,9
-0.001006951,9
-0.001006851,9
-0.001006751,9
-0.001006651,9
-0.001006551,9
-0.001006451,9
-0.001006351,9
-0.001006251,9
-0.001006151,9
-0.001006051,9
-0.001005951,9
-0.001005851,9
-0.001005751,9
-0.001005651,9
-0.001005551,9
-0.001005451,9
-0.001005351,9
-0.001005251,9
-0.001005151,9
-0.001005051,9
-0.001004951,8.66667
-0.001004851,9
-0.001004751,9
-0.001004651,9
-0.001004551,9
-0.001004451,9
-0.001004351,9
-0.001004251,9
-0.001004151,9
-0.001004051,9
-0.001003951,9
-0.001003851,9
-0.001003751,9
-0.001003651,9
-0.001003551,9
-0.001003451,9
-0.001003351,9
-0.001003251,9
-0.001003151,9
-0.001003051,9
-0.001002951,9
-0.001002851,9
-0.001002751,9
-0.001002651,9
-0.001002551,9
-0.001002451,9
-0.001002351,9.33333
-0.001002251,9
-0.001002151,9
-0.001002051,9
-0.001001951,9
-0.001001851,9
-0.001001751,9
-0.001001651,9
-0.001001551,9
-0.001001451,9
-0.001001351,9
-0.001001251,9
-0.001001151,9
-0.001001051,9
-0.001000951,9
-0.001000851,9
-0.001000751,9
-0.001000651,9
-0.001000551,9
-0.001000451,9
-0.001000351,9
-0.001000251,9
-0.001000151,9
-0.001000051,9
-0.00099995102,9
-0.00099985102,9
-0.00099975102,9
-0.00099965102,9
-0.00099955102,9
-0.00099945102,9
-0.00099935102,9
-0.00099925102,9
-0.00099915102,9
-0.00099905102,9
-0.00099895102,9
-0.00099885102,9
-0.00099875102,9
-0.00099865102,9
-0.00099855102,9
-0.00099845102,9
-0.00099835102,9.33333
-0.00099825102,9
-0.00099815102,9
-0.00099805102,9
-0.00099795102,9
-0.00099785102,9
-0.00099775102,9
-0.00099765102,9
-0.00099755102,9
-0.00099745102,9
-0.00099735102,9
-0.00099725102,9
-0.00099715102,9
-0.00099705102,9
-0.00099695102,9
-0.00099685102,9
-0.00099675102,9
-0.00099665102,9
-0.00099655102,9
-0.00099645102,9
-0.00099635102,9
-0.00099625102,9
-0.00099615102,9
-0.00099605102,9
-0.00099595102,9
-0.00099585102,9
-0.00099575102,9
-0.00099565102,9
-0.00099555102,9
-0.00099545102,9
-0.00099535102,9
-0.00099525102,9
-0.00099515102,9.33333
-0.00099505102,9
-0.00099495102,9
-0.00099485102,9.33333
-0.00099475102,9
-0.00099465102,9
-0.00099455102,9
-0.00099445102,9
-0.00099435102,9
-0.00099425102,9
-0.00099415102,9
-0.00099405102,9
-0.00099395102,9
-0.00099385102,9
-0.00099375102,9
-0.00099365102,9
-0.00099355102,9
-0.00099345102,9
-0.00099335102,9
-0.00099325102,9
-0.00099315102,9
-0.00099305102,9
-0.00099295102,9
-0.00099285102,9
-0.00099275102,9
-0.00099265102,9
-0.00099255102,9
-0.00099245102,9
-0.00099235102,9
-0.00099225102,9
-0.00099215102,9
-0.00099205102,9
-0.00099195102,9.33333
-0.00099185102,9
-0.00099175102,9
-0.00099165102,9
-0.00099155102,9
-0.00099145102,9
-0.00099135102,9
-0.00099125102,9
-0.00099115102,9
-0.00099105102,9
-0.00099095102,9
-0.00099085102,9
-0.00099075102,9
-0.00099065102,9
-0.00099055102,9
-0.00099045102,9
-0.00099035102,9
-0.00099025102,9
-0.00099015102,9
-0.00099005102,9
