LECROYWS3054,15236,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,18-Dec-2017 17:53:00,0                 
Time,Ampl
-0.0010200195,0
-0.0010199195,-0.166667
-0.0010198195,0
-0.0010197195,0
-0.0010196195,0
-0.0010195195,-0.166667
-0.0010194195,0
-0.0010193195,-0.166667
-0.0010192195,0
-0.0010191195,0
-0.0010190195,0
-0.0010189195,0
-0.0010188195,0
-0.0010187195,0
-0.0010186195,-0.166667
-0.0010185195,0
-0.0010184195,0
-0.0010183195,-0.166667
-0.0010182195,-0.166667
-0.0010181195,-0.166667
-0.0010180195,0
-0.0010179195,0
-0.0010178195,-0.166667
-0.0010177195,-0.166667
-0.0010176195,0
-0.0010175195,0
-0.0010174195,0
-0.0010173195,0
-0.0010172195,-0.166667
-0.0010171195,0
-0.0010170195,0
-0.0010169195,0
-0.0010168195,0
-0.0010167195,0
-0.0010166195,0
-0.0010165195,-0.166667
-0.0010164195,0
-0.0010163195,0
-0.0010162195,-0.166667
-0.0010161195,-0.166667
-0.0010160195,0
-0.0010159195,0
-0.0010158195,0
-0.0010157195,0
-0.0010156195,0
-0.0010155195,0
-0.0010154195,0
-0.0010153195,0
-0.0010152195,0
-0.0010151195,0
-0.0010150195,0
-0.0010149195,0
-0.0010148195,-0.166667
-0.0010147195,0
-0.0010146195,0
-0.0010145195,-0.166667
-0.0010144195,0
-0.0010143195,0
-0.0010142195,0
-0.0010141195,0
-0.0010140195,0
-0.0010139195,0
-0.0010138195,0
-0.0010137195,0
-0.0010136195,0
-0.0010135195,0
-0.0010134195,0
-0.0010133195,0
-0.0010132195,-0.166667
-0.0010131195,0
-0.0010130195,0
-0.0010129195,-0.166667
-0.0010128195,0
-0.0010127195,0
-0.0010126195,0
-0.0010125195,0
-0.0010124195,0
-0.0010123195,0
-0.0010122195,-0.166667
-0.0010121195,-0.166667
-0.0010120195,0
-0.0010119195,0
-0.0010118195,0
-0.0010117195,0
-0.0010116195,0
-0.0010115195,0
-0.0010114195,-0.166667
-0.0010113195,0
-0.0010112195,0
-0.0010111195,0
-0.0010110195,0
-0.0010109195,0
-0.0010108195,0
-0.0010107195,0
-0.0010106195,0
-0.0010105195,0
-0.0010104195,0
-0.0010103195,0
-0.0010102195,-0.166667
-0.0010101195,0
-0.0010100195,0
-0.0010099195,0
-0.0010098195,0
-0.0010097195,0
-0.0010096195,0
-0.0010095195,0
-0.0010094195,0
-0.0010093195,-0.166667
-0.0010092195,0
-0.0010091195,0
-0.0010090195,0
-0.0010089195,0
-0.0010088195,0
-0.0010087195,0
-0.0010086195,-0.166667
-0.0010085195,-0.166667
-0.0010084195,0
-0.0010083195,0
-0.0010082195,0
-0.0010081195,0
-0.0010080195,0
-0.0010079195,0
-0.0010078195,0
-0.0010077195,0
-0.0010076195,0
-0.0010075195,0
-0.0010074195,0
-0.0010073195,0
-0.0010072195,-0.166667
-0.0010071195,0
-0.0010070195,0
-0.0010069195,0
-0.0010068195,-0.166667
-0.0010067195,-0.166667
-0.0010066195,-0.166667
-0.0010065195,0
-0.0010064195,0
-0.0010063195,-0.166667
-0.0010062195,0
-0.0010061195,0
-0.0010060195,0
-0.0010059195,0
-0.0010058195,-0.166667
-0.0010057195,-0.166667
-0.0010056195,0
-0.0010055195,0
-0.0010054195,0
-0.0010053195,-0.166667
-0.0010052195,-0.166667
-0.0010051195,-0.166667
-0.0010050195,0
-0.0010049195,0
-0.0010048195,0
-0.0010047195,0
-0.0010046195,0
-0.0010045195,-0.166667
-0.0010044195,0
-0.0010043195,0
-0.0010042195,-0.166667
-0.0010041195,-0.166667
-0.0010040195,0
-0.0010039195,-0.166667
-0.0010038195,0
-0.0010037195,0
-0.0010036195,-0.166667
-0.0010035195,0
-0.0010034195,0
-0.0010033195,-0.166667
-0.0010032195,0
-0.0010031195,0
-0.0010030195,0
-0.0010029195,0
-0.0010028195,0
-0.0010027195,-0.166667
-0.0010026195,-0.166667
-0.0010025195,0
-0.0010024195,0
-0.0010023195,0
-0.0010022195,-0.166667
-0.0010021195,0
-0.0010020195,0
-0.0010019195,0
-0.0010018195,-0.166667
-0.0010017195,-0.166667
-0.0010016195,-0.166667
-0.0010015195,0
-0.0010014195,0
-0.0010013195,0
-0.0010012195,0
-0.0010011195,0
-0.0010010195,-0.166667
-0.0010009195,0
-0.0010008195,0
-0.0010007195,0
-0.0010006195,0
-0.0010005195,0
-0.0010004195,-0.166667
-0.0010003195,-0.166667
-0.0010002195,0
-0.0010001195,-0.166667
-0.0010000195,0
-0.0009999195,0
-0.0009998195,0
-0.0009997195,-0.166667
-0.0009996195,0
-0.0009995195,-0.166667
-0.0009994195,0
-0.0009993195,0
-0.0009992195,0
-0.0009991195,0
-0.0009990195,0
-0.0009989195,0
-0.0009988195,0
-0.0009987195,0
-0.0009986195,-0.166667
-0.0009985195,0
-0.0009984195,0
-0.0009983195,0
-0.0009982195,0
-0.0009981195,0
-0.0009980195,0
-0.0009979195,0
-0.0009978195,-0.166667
-0.0009977195,0
-0.0009976195,0
-0.0009975195,0
-0.0009974195,0
-0.0009973195,0
-0.0009972195,-0.166667
-0.0009971195,-0.166667
-0.0009970195,0
-0.0009969195,0
-0.0009968195,0
-0.0009967195,0
-0.0009966195,0
-0.0009965195,0
-0.0009964195,-0.166667
-0.0009963195,-0.166667
-0.0009962195,0
-0.0009961195,0
-0.0009960195,0
-0.0009959195,0
-0.0009958195,-0.166667
-0.0009957195,0
-0.0009956195,0
-0.0009955195,0
-0.0009954195,0
-0.0009953195,0
-0.0009952195,-0.166667
-0.0009951195,0
-0.0009950195,-0.166667
-0.0009949195,-0.166667
-0.0009948195,0
-0.0009947195,0
-0.0009946195,0
-0.0009945195,0
-0.0009944195,0
-0.0009943195,0
-0.0009942195,0
-0.0009941195,0
-0.0009940195,0
-0.0009939195,0
-0.0009938195,0
-0.0009937195,0
-0.0009936195,0
-0.0009935195,0
-0.0009934195,0
-0.0009933195,0
-0.0009932195,0
-0.0009931195,0
-0.0009930195,0
-0.0009929195,0
-0.0009928195,-0.166667
-0.0009927195,0
-0.0009926195,0
-0.0009925195,-0.166667
-0.0009924195,0
-0.0009923195,0
-0.0009922195,0
-0.0009921195,0
-0.0009920195,0
-0.0009919195,0
-0.0009918195,0
-0.0009917195,0
-0.0009916195,-0.166667
-0.0009915195,0
-0.0009914195,0
-0.0009913195,0
-0.0009912195,0
-0.0009911195,0
-0.0009910195,0
-0.0009909195,0
-0.0009908195,0
-0.0009907195,0
-0.0009906195,0
-0.0009905195,0
-0.0009904195,0
-0.0009903195,0
-0.0009902195,0
-0.0009901195,0
-0.0009900195,0
-0.0009899195,-0.166667
-0.0009898195,0
-0.0009897195,0
-0.0009896195,0
-0.0009895195,0
-0.0009894195,0
-0.0009893195,0
-0.0009892195,0
-0.0009891195,0
-0.0009890195,-0.166667
-0.0009889195,0
-0.0009888195,0
-0.0009887195,-0.166667
-0.0009886195,0
-0.0009885195,0
-0.0009884195,-0.166667
-0.0009883195,-0.166667
-0.0009882195,0
-0.0009881195,-0.166667
-0.0009880195,0
-0.0009879195,0
-0.0009878195,0
-0.0009877195,0
-0.0009876195,0
-0.0009875195,0
-0.0009874195,0
-0.0009873195,0
-0.0009872195,0
-0.0009871195,0
-0.0009870195,0
-0.0009869195,0
-0.0009868195,0
-0.0009867195,0
-0.0009866195,-0.166667
-0.0009865195,0
-0.0009864195,0
-0.0009863195,0
-0.0009862195,0
-0.0009861195,-0.166667
-0.0009860195,0
-0.0009859195,-0.166667
-0.0009858195,0
-0.0009857195,0
-0.0009856195,0
-0.0009855195,0
-0.0009854195,0
-0.0009853195,0
-0.0009852195,0
-0.0009851195,0
-0.0009850195,0
-0.0009849195,0
-0.0009848195,0
-0.0009847195,0
-0.0009846195,0
-0.0009845195,0
-0.0009844195,0
-0.0009843195,0
-0.0009842195,0
-0.0009841195,0
-0.0009840195,0
-0.0009839195,0
-0.0009838195,0
-0.0009837195,-0.166667
-0.0009836195,-0.166667
-0.0009835195,0
-0.0009834195,0
-0.0009833195,0
-0.0009832195,0
-0.0009831195,0
-0.0009830195,0
-0.0009829195,0
-0.0009828195,0
-0.0009827195,-0.166667
-0.0009826195,0
-0.0009825195,0
-0.0009824195,-0.166667
-0.0009823195,0
-0.0009822195,0
-0.0009821195,0
-0.0009820195,-0.166667
-0.0009819195,0
-0.0009818195,0
-0.0009817195,0
-0.0009816195,0
-0.0009815195,0
-0.0009814195,-0.166667
-0.0009813195,-0.166667
-0.0009812195,0
-0.0009811195,0
-0.0009810195,0
-0.0009809195,-0.166667
-0.0009808195,-0.166667
-0.0009807195,0
-0.0009806195,-0.166667
-0.0009805195,0
-0.0009804195,-0.166667
-0.0009803195,0
-0.0009802195,-0.166667
-0.0009801195,0
-0.0009800195,-0.166667
-0.0009799195,0
-0.0009798195,0
-0.0009797195,0
-0.0009796195,0
-0.0009795195,-0.166667
-0.0009794195,0
-0.0009793195,-0.166667
-0.0009792195,0
-0.0009791195,-0.166667
-0.0009790195,0
-0.0009789195,0
-0.0009788195,0
-0.0009787195,-0.166667
-0.0009786195,0
-0.0009785195,0
-0.0009784195,0
-0.0009783195,-0.166667
-0.0009782195,0
-0.0009781195,0
-0.0009780195,-0.166667
-0.0009779195,0
-0.0009778195,0
-0.0009777195,0
-0.0009776195,0
-0.0009775195,0
-0.0009774195,0
-0.0009773195,-0.166667
-0.0009772195,0
-0.0009771195,0
-0.0009770195,0
-0.0009769195,0
-0.0009768195,0
-0.0009767195,-0.166667
-0.0009766195,0
-0.0009765195,0
-0.0009764195,-0.166667
-0.0009763195,0
-0.0009762195,-0.166667
-0.0009761195,0
-0.0009760195,0
-0.0009759195,0
-0.0009758195,0
-0.0009757195,0
-0.0009756195,0
-0.0009755195,-0.166667
-0.0009754195,0
-0.0009753195,-0.166667
-0.0009752195,0
-0.0009751195,0
-0.0009750195,0
-0.0009749195,0
-0.0009748195,0
-0.0009747195,-0.166667
-0.0009746195,0
-0.0009745195,0
-0.0009744195,0
-0.0009743195,0
