LECROYWS3054,15236,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,18-Dec-2017 17:47:07,0                 
Time,Ampl
-0.0010200625,-0.666667
-0.0010199625,-0.666667
-0.0010198625,0
-0.0010197625,-0.666667
-0.0010196625,0
-0.0010195625,0
-0.0010194625,0
-0.0010193625,0
-0.0010192625,0
-0.0010191625,0
-0.0010190625,0
-0.0010189625,-0.666667
-0.0010188625,0
-0.0010187625,0
-0.0010186625,-0.666667
-0.0010185625,-0.666667
-0.0010184625,0
-0.0010183625,0
-0.0010182625,0
-0.0010181625,-0.666667
-0.0010180625,0
-0.0010179625,0
-0.0010178625,-0.666667
-0.0010177625,0
-0.0010176625,-0.666667
-0.0010175625,0
-0.0010174625,0
-0.0010173625,-0.666667
-0.0010172625,0
-0.0010171625,0
-0.0010170625,-0.666667
-0.0010169625,-0.666667
-0.0010168625,-0.666667
-0.0010167625,-0.666667
-0.0010166625,0
-0.0010165625,0
-0.0010164625,0
-0.0010163625,0
-0.0010162625,-0.666667
-0.0010161625,-0.666667
-0.0010160625,0
-0.0010159625,-0.666667
-0.0010158625,0
-0.0010157625,0
-0.0010156625,-0.666667
-0.0010155625,-0.666667
-0.0010154625,-0.666667
-0.0010153625,-0.666667
-0.0010152625,0
-0.0010151625,0
-0.0010150625,-0.666667
-0.0010149625,-0.666667
-0.0010148625,0
-0.0010147625,-0.666667
-0.0010146625,-0.666667
-0.0010145625,0
-0.0010144625,0
-0.0010143625,0
-0.0010142625,0
-0.0010141625,0
-0.0010140625,0
-0.0010139625,0
-0.0010138625,-0.666667
-0.0010137625,0
-0.0010136625,0
-0.0010135625,-0.666667
-0.0010134625,-0.666667
-0.0010133625,0
-0.0010132625,0
-0.0010131625,0
-0.0010130625,-0.666667
-0.0010129625,-0.666667
-0.0010128625,-0.666667
-0.0010127625,-0.666667
-0.0010126625,-0.666667
-0.0010125625,0
-0.0010124625,-0.666667
-0.0010123625,-0.666667
-0.0010122625,0
-0.0010121625,-0.666667
-0.0010120625,0
-0.0010119625,0
-0.0010118625,0
-0.0010117625,-0.666667
-0.0010116625,0
-0.0010115625,-0.666667
-0.0010114625,0
-0.0010113625,-0.666667
-0.0010112625,-0.666667
-0.0010111625,-0.666667
-0.0010110625,0
-0.0010109625,0
-0.0010108625,-0.666667
-0.0010107625,0
-0.0010106625,0
-0.0010105625,-0.666667
-0.0010104625,0
-0.0010103625,0
-0.0010102625,0
-0.0010101625,-0.666667
-0.0010100625,0
-0.0010099625,-0.666667
-0.0010098625,-0.666667
-0.0010097625,-0.666667
-0.0010096625,-0.666667
-0.0010095625,-0.666667
-0.0010094625,0
-0.0010093625,-0.666667
-0.0010092625,-0.666667
-0.0010091625,0
-0.0010090625,-0.666667
-0.0010089625,0
-0.0010088625,-0.666667
-0.0010087625,-0.666667
-0.0010086625,0
-0.0010085625,0
-0.0010084625,0
-0.0010083625,-0.666667
-0.0010082625,0
-0.0010081625,-0.666667
-0.0010080625,-0.666667
-0.0010079625,-0.666667
-0.0010078625,-0.666667
-0.0010077625,-0.666667
-0.0010076625,0
-0.0010075625,0
-0.0010074625,-0.666667
-0.0010073625,-0.666667
-0.0010072625,0
-0.0010071625,-0.666667
-0.0010070625,-0.666667
-0.0010069625,0
-0.0010068625,-0.666667
-0.0010067625,0
-0.0010066625,-0.666667
-0.0010065625,-0.666667
-0.0010064625,0
-0.0010063625,-0.666667
-0.0010062625,0
-0.0010061625,-0.666667
-0.0010060625,-0.666667
-0.0010059625,0
-0.0010058625,0
-0.0010057625,-0.666667
-0.0010056625,0
-0.0010055625,-0.666667
-0.0010054625,-0.666667
-0.0010053625,0
-0.0010052625,0
-0.0010051625,-0.666667
-0.0010050625,-0.666667
-0.0010049625,0
-0.0010048625,-0.666667
-0.0010047625,0
-0.0010046625,0
-0.0010045625,-0.666667
-0.0010044625,-0.666667
-0.0010043625,-0.666667
-0.0010042625,0
-0.0010041625,-0.666667
-0.0010040625,-0.666667
-0.0010039625,0
-0.0010038625,-0.666667
-0.0010037625,-0.666667
-0.0010036625,0
-0.0010035625,0
-0.0010034625,0
-0.0010033625,-0.666667
-0.0010032625,-0.666667
-0.0010031625,0
-0.0010030625,-0.666667
-0.0010029625,-0.666667
-0.0010028625,-0.666667
