LECROYWS3054,15236,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,19-Dec-2017 08:22:05,0                 
Time,Ampl
-0.0022300152,-0.166667
-0.0022299652,0
-0.0022299152,0
-0.0022298652,0
-0.0022298152,0
-0.0022297652,0
-0.0022297152,0
-0.0022296652,0
-0.0022296152,0
-0.0022295652,0
-0.0022295152,0
-0.0022294652,-0.166667
-0.0022294152,0
-0.0022293652,0
-0.0022293152,0
-0.0022292652,0
-0.0022292152,0
-0.0022291652,0
-0.0022291152,0
-0.0022290652,0
-0.0022290152,0
-0.0022289652,0
-0.0022289152,0
-0.0022288652,0
-0.0022288152,0
-0.0022287652,0
-0.0022287152,0
-0.0022286652,0
-0.0022286152,0
-0.0022285652,0
-0.0022285152,0
-0.0022284652,0
-0.0022284152,0
-0.0022283652,0
-0.0022283152,0
-0.0022282652,0
-0.0022282152,0
-0.0022281652,0
-0.0022281152,0
-0.0022280652,0
-0.0022280152,0
-0.0022279652,0
-0.0022279152,0
-0.0022278652,0
-0.0022278152,0
-0.0022277652,0
-0.0022277152,0
-0.0022276652,0
-0.0022276152,0
-0.0022275652,0
-0.0022275152,0
-0.0022274652,0
-0.0022274152,0
-0.0022273652,0
-0.0022273152,0
-0.0022272652,0
-0.0022272152,0
-0.0022271652,0
-0.0022271152,0
-0.0022270652,0
-0.0022270152,0
-0.0022269652,0
-0.0022269152,0
-0.0022268652,0
-0.0022268152,0
-0.0022267652,0
-0.0022267152,0
-0.0022266652,0
-0.0022266152,0
-0.0022265652,0
-0.0022265152,0
-0.0022264652,0
-0.0022264152,0
-0.0022263652,0
-0.0022263152,0
-0.0022262652,0
-0.0022262152,0
-0.0022261652,0
-0.0022261152,0
-0.0022260652,0
-0.0022260152,0
-0.0022259652,0
-0.0022259152,0
-0.0022258652,0
-0.0022258152,0
-0.0022257652,0
-0.0022257152,0
-0.0022256652,0
-0.0022256152,0
-0.0022255652,0
-0.0022255152,0
-0.0022254652,0
-0.0022254152,0
-0.0022253652,0
-0.0022253152,0
-0.0022252652,0
-0.0022252152,0
-0.0022251652,0
-0.0022251152,0
-0.0022250652,-0.166667
-0.0022250152,0
-0.0022249652,0
-0.0022249152,0
-0.0022248652,0
-0.0022248152,0
-0.0022247652,0
-0.0022247152,0
-0.0022246652,0
-0.0022246152,0
-0.0022245652,0
-0.0022245152,0
-0.0022244652,0
-0.0022244152,-0.166667
-0.0022243652,0
-0.0022243152,0
-0.0022242652,0
-0.0022242152,0
-0.0022241652,0
-0.0022241152,0
-0.0022240652,0
-0.0022240152,0
-0.0022239652,0
-0.0022239152,0
-0.0022238652,0
-0.0022238152,0
-0.0022237652,0
-0.0022237152,0
-0.0022236652,0
-0.0022236152,0
-0.0022235652,0
-0.0022235152,0
-0.0022234652,0
-0.0022234152,0
-0.0022233652,0
-0.0022233152,0
-0.0022232652,0
-0.0022232152,0
-0.0022231652,0
-0.0022231152,0
-0.0022230652,0
-0.0022230152,0
-0.0022229652,0
-0.0022229152,0
-0.0022228652,0
-0.0022228152,0
-0.0022227652,0
-0.0022227152,0
-0.0022226652,0
-0.0022226152,0
-0.0022225652,0
-0.0022225152,0
-0.0022224652,0
-0.0022224152,0
-0.0022223652,0
-0.0022223152,0
-0.0022222652,0
-0.0022222152,0
-0.0022221652,0
-0.0022221152,0
-0.0022220652,0
-0.0022220152,0
-0.0022219652,0
-0.0022219152,0
-0.0022218652,0
-0.0022218152,0
-0.0022217652,0
-0.0022217152,0
-0.0022216652,0
-0.0022216152,0
-0.0022215652,0
-0.0022215152,0
-0.0022214652,0
-0.0022214152,0
-0.0022213652,0
-0.0022213152,0
-0.0022212652,0
-0.0022212152,0
-0.0022211652,0
-0.0022211152,0
-0.0022210652,0
-0.0022210152,0
-0.0022209652,0
-0.0022209152,0
-0.0022208652,0
-0.0022208152,0
-0.0022207652,0
-0.0022207152,0
-0.0022206652,0
-0.0022206152,0
-0.0022205652,0
-0.0022205152,0
-0.0022204652,0
-0.0022204152,-0.166667
-0.0022203652,0
-0.0022203152,0
-0.0022202652,0
-0.0022202152,0
-0.0022201652,0
-0.0022201152,0
-0.0022200652,0
-0.0022200152,0
-0.0022199652,0
-0.0022199152,0
-0.0022198652,0
-0.0022198152,0
-0.0022197652,0
-0.0022197152,0
-0.0022196652,0
-0.0022196152,0
-0.0022195652,-0.166667
-0.0022195152,0
-0.0022194652,0
-0.0022194152,0
-0.0022193652,0
-0.0022193152,0
-0.0022192652,0
-0.0022192152,0
-0.0022191652,0
-0.0022191152,0
-0.0022190652,0
-0.0022190152,0
-0.0022189652,0
-0.0022189152,0
-0.0022188652,0
-0.0022188152,0
-0.0022187652,0
-0.0022187152,0
-0.0022186652,0
-0.0022186152,0
-0.0022185652,0
-0.0022185152,0
-0.0022184652,0
-0.0022184152,-0.166667
-0.0022183652,0
-0.0022183152,-0.166667
-0.0022182652,0
-0.0022182152,0
-0.0022181652,-0.166667
-0.0022181152,0
-0.0022180652,0
-0.0022180152,0
-0.0022179652,0
-0.0022179152,0
-0.0022178652,0
-0.0022178152,0
-0.0022177652,0
-0.0022177152,0
-0.0022176652,0
-0.0022176152,0
-0.0022175652,0
-0.0022175152,0
-0.0022174652,0
-0.0022174152,-0.166667
-0.0022173652,0
-0.0022173152,0
-0.0022172652,0
-0.0022172152,0
-0.0022171652,0
-0.0022171152,0
-0.0022170652,0
-0.0022170152,0
-0.0022169652,-0.166667
-0.0022169152,0
-0.0022168652,0
-0.0022168152,-0.166667
-0.0022167652,0
-0.0022167152,0
-0.0022166652,-0.166667
-0.0022166152,0
-0.0022165652,0
-0.0022165152,0
-0.0022164652,0
-0.0022164152,0
-0.0022163652,0
-0.0022163152,0
-0.0022162652,0
-0.0022162152,0
-0.0022161652,0
-0.0022161152,0
-0.0022160652,0
-0.0022160152,0
-0.0022159652,0
-0.0022159152,0
-0.0022158652,-0.166667
-0.0022158152,0
-0.0022157652,0
-0.0022157152,0
-0.0022156652,0
-0.0022156152,0
-0.0022155652,0
-0.0022155152,0
-0.0022154652,0
-0.0022154152,0
-0.0022153652,0
-0.0022153152,0
-0.0022152652,0
-0.0022152152,-0.166667
-0.0022151652,0
-0.0022151152,0
-0.0022150652,0
-0.0022150152,0
-0.0022149652,0
-0.0022149152,0
-0.0022148652,0
-0.0022148152,0
-0.0022147652,0
-0.0022147152,-0.166667
-0.0022146652,0
-0.0022146152,0
-0.0022145652,0
-0.0022145152,0
-0.0022144652,0
-0.0022144152,0
-0.0022143652,0
-0.0022143152,0
-0.0022142652,0
-0.0022142152,0
-0.0022141652,0
-0.0022141152,0
-0.0022140652,0
-0.0022140152,0
-0.0022139652,0
-0.0022139152,0
-0.0022138652,0
-0.0022138152,0
-0.0022137652,0
-0.0022137152,0
-0.0022136652,0
-0.0022136152,0
-0.0022135652,0
-0.0022135152,0
-0.0022134652,0
-0.0022134152,0
-0.0022133652,0
-0.0022133152,0
-0.0022132652,0
-0.0022132152,0
-0.0022131652,0
-0.0022131152,0
-0.0022130652,0
-0.0022130152,0
-0.0022129652,0
-0.0022129152,0
-0.0022128652,0
-0.0022128152,0
-0.0022127652,0
-0.0022127152,0
-0.0022126652,0
-0.0022126152,-0.166667
-0.0022125652,0
-0.0022125152,0
-0.0022124652,0
-0.0022124152,-0.166667
-0.0022123652,0
-0.0022123152,0
-0.0022122652,0
-0.0022122152,0
-0.0022121652,0
-0.0022121152,0
-0.0022120652,0
-0.0022120152,0
-0.0022119652,0
-0.0022119152,0
-0.0022118652,0
-0.0022118152,0
-0.0022117652,0
-0.0022117152,0
-0.0022116652,0
-0.0022116152,0
-0.0022115652,0
-0.0022115152,0
-0.0022114652,-0.166667
-0.0022114152,0
-0.0022113652,0
-0.0022113152,0
-0.0022112652,0
-0.0022112152,0
-0.0022111652,0
-0.0022111152,0
-0.0022110652,0
-0.0022110152,0
-0.0022109652,0
-0.0022109152,0
-0.0022108652,0
-0.0022108152,0
