LECROYWS3054,15238,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,09-Nov-2017 08:05:21,0                 
Time,Ampl
-0.0002500015,0
-0.0002499965,0
-0.0002499915,0
-0.0002499865,0
-0.0002499815,0
-0.0002499765,0
-0.0002499715,0
-0.0002499665,0
-0.0002499615,0
-0.0002499565,0
-0.0002499515,0
-0.0002499465,0
-0.0002499415,0
-0.0002499365,0
-0.0002499315,0
-0.0002499265,0
-0.0002499215,0
-0.0002499165,0
-0.0002499115,0
-0.0002499065,0
-0.0002499015,0
-0.0002498965,0
-0.0002498915,0
-0.0002498865,0
-0.0002498815,0
-0.0002498765,0
-0.0002498715,0
-0.0002498665,0
-0.0002498615,0
-0.0002498565,0
-0.0002498515,0
-0.0002498465,0
-0.0002498415,0
-0.0002498365,0
-0.0002498315,0
-0.0002498265,0
-0.0002498215,0
-0.0002498165,0
-0.0002498115,0
-0.0002498065,0
-0.0002498015,0
-0.0002497965,0
-0.0002497915,0
-0.0002497865,0
-0.0002497815,0
-0.0002497765,0
-0.0002497715,0
-0.0002497665,0
-0.0002497615,0
-0.0002497565,0
-0.0002497515,0
-0.0002497465,0
-0.0002497415,0
-0.0002497365,0
-0.0002497315,0
-0.0002497265,0
-0.0002497215,0
-0.0002497165,0
-0.0002497115,0
-0.0002497065,0
-0.0002497015,0
-0.0002496965,0
-0.0002496915,0
-0.0002496865,0
-0.0002496815,0
-0.0002496765,0
-0.0002496715,0
-0.0002496665,0
-0.0002496615,0
-0.0002496565,0
-0.0002496515,0
-0.0002496465,0
-0.0002496415,0
-0.0002496365,0
-0.0002496315,0
-0.0002496265,0
-0.0002496215,0
-0.0002496165,0
-0.0002496115,0
-0.0002496065,0
-0.0002496015,0.166667
-0.0002495965,0.166667
-0.0002495915,0
-0.0002495865,0
-0.0002495815,0
-0.0002495765,0
-0.0002495715,0
-0.0002495665,0
-0.0002495615,0
-0.0002495565,0
-0.0002495515,0
-0.0002495465,0
-0.0002495415,0
-0.0002495365,0
-0.0002495315,0
-0.0002495265,0
-0.0002495215,0
-0.0002495165,0
-0.0002495115,0
-0.0002495065,0
-0.0002495015,0
-0.0002494965,0
-0.0002494915,0
-0.0002494865,0
-0.0002494815,0
-0.0002494765,0
-0.0002494715,0
-0.0002494665,0
-0.0002494615,0
-0.0002494565,0
-0.0002494515,0
-0.0002494465,0
-0.0002494415,0.166667
-0.0002494365,0
-0.0002494315,0
-0.0002494265,0
-0.0002494215,0
-0.0002494165,0
-0.0002494115,0
-0.0002494065,0
-0.0002494015,0
-0.0002493965,0
-0.0002493915,0
-0.0002493865,0
-0.0002493815,0
-0.0002493765,0
-0.0002493715,0
-0.0002493665,0
-0.0002493615,0
-0.0002493565,0
-0.0002493515,0
-0.0002493465,0
-0.0002493415,0
-0.0002493365,0
-0.0002493315,0
-0.0002493265,0
-0.0002493215,0
-0.0002493165,0
-0.0002493115,0
-0.0002493065,0
-0.0002493015,0.166667
-0.0002492965,0
-0.0002492915,0
-0.0002492865,0
-0.0002492815,0
-0.0002492765,0
-0.0002492715,0
-0.0002492665,0
-0.0002492615,0
-0.0002492565,0
-0.0002492515,0
-0.0002492465,0
-0.0002492415,0
-0.0002492365,0
-0.0002492315,0
-0.0002492265,0
-0.0002492215,0
-0.0002492165,0
-0.0002492115,0
-0.0002492065,0
-0.0002492015,0
-0.0002491965,0
-0.0002491915,0
-0.0002491865,0
-0.0002491815,0
-0.0002491765,0
-0.0002491715,0
-0.0002491665,0
-0.0002491615,0
-0.0002491565,0
-0.0002491515,0
-0.0002491465,0
-0.0002491415,0
-0.0002491365,0
-0.0002491315,0
-0.0002491265,0
-0.0002491215,0
-0.0002491165,0
-0.0002491115,0.166667
-0.0002491065,0.166667
-0.0002491015,0
-0.0002490965,0
