LECROYWS3054,15238,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,02-Nov-2017 11:11:52,0                 
Time,Ampl
-0.0064000995,0
-0.0063998995,0
-0.0063996995,0.0333333
-0.0063994995,0
-0.0063992995,0
-0.0063990995,0
-0.0063988995,0.0333333
-0.0063986995,0
-0.0063984995,0
-0.0063982995,0
-0.0063980995,0.0333333
-0.0063978995,0
-0.0063976995,0
-0.0063974995,0
-0.0063972995,0
-0.0063970995,0
-0.0063968995,0.0333333
-0.0063966995,0
-0.0063964995,0
-0.0063962995,0
-0.0063960995,0
-0.0063958995,0
-0.0063956995,0
-0.0063954995,0
-0.0063952995,0
-0.0063950995,0
-0.0063948995,0
-0.0063946995,0
-0.0063944995,0.0333333
-0.0063942995,0
-0.0063940995,0
-0.0063938995,0.0333333
-0.0063936995,0
-0.0063934995,0.0333333
-0.0063932995,0
-0.0063930995,0
-0.0063928995,0
-0.0063926995,0
-0.0063924995,0
-0.0063922995,0
-0.0063920995,0
-0.0063918995,0
-0.0063916995,0
-0.0063914995,0.0333333
-0.0063912995,0.0333333
-0.0063910995,0.0333333
-0.0063908995,0
-0.0063906995,0
-0.0063904995,0
-0.0063902995,0
-0.0063900995,0
-0.0063898995,0
-0.0063896995,0
-0.0063894995,0
-0.0063892995,-0.0333333
-0.0063890995,0.0333333
-0.0063888995,0
-0.0063886995,0
-0.0063884995,0
-0.0063882995,0
-0.0063880995,0.0333333
-0.0063878995,0
-0.0063876995,0.0333333
-0.0063874995,0
-0.0063872995,0
-0.0063870995,0
-0.0063868995,0
-0.0063866995,0
-0.0063864995,0
-0.0063862995,0
-0.0063860995,0
-0.0063858995,0
-0.0063856995,0
-0.0063854995,0
-0.0063852995,0
-0.0063850995,0
-0.0063848995,0
-0.0063846995,0
-0.0063844995,0
-0.0063842995,0
-0.0063840995,0
-0.0063838995,0.0333333
-0.0063836995,0
-0.0063834995,0
-0.0063832995,0
-0.0063830995,0
-0.0063828995,0
-0.0063826995,0.0333333
-0.0063824995,0
-0.0063822995,0
-0.0063820995,0
-0.0063818995,0
-0.0063816995,0.0333333
-0.0063814995,0
-0.0063812995,0.0333333
-0.0063810995,0
-0.0063808995,0
-0.0063806995,0
-0.0063804995,0
-0.0063802995,0
-0.0063800995,0
-0.0063798995,0
-0.0063796995,0
-0.0063794995,0
-0.0063792995,0
-0.0063790995,0.0333333
-0.0063788995,0.0333333
-0.0063786995,0
-0.0063784995,0
-0.0063782995,0
-0.0063780995,0
-0.0063778995,0
-0.0063776995,0
-0.0063774995,0
-0.0063772995,0
-0.0063770995,0.0333333
-0.0063768995,0
-0.0063766995,0
-0.0063764995,0
-0.0063762995,0.0333333
-0.0063760995,0
-0.0063758995,0
-0.0063756995,0
-0.0063754995,0
-0.0063752995,0
-0.0063750995,0
-0.0063748995,0
-0.0063746995,0
-0.0063744995,0.0333333
-0.0063742995,0
-0.0063740995,0
-0.0063738995,0
-0.0063736995,0
-0.0063734995,0.0333333
-0.0063732995,0.0333333
-0.0063730995,0
-0.0063728995,0
-0.0063726995,0
-0.0063724995,0
-0.0063722995,0
-0.0063720995,0
-0.0063718995,0
-0.0063716995,0.0333333
-0.0063714995,0
-0.0063712995,0.0333333
-0.0063710995,0
-0.0063708995,0
-0.0063706995,0
-0.0063704995,0.0333333
