LECROYWS3054,15236,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,18-Dec-2017 17:47:07,0                 
Time,Ampl
-0.001020062,24
-0.001019962,24
-0.001019862,24.3333
-0.001019762,24
-0.001019662,24
-0.001019562,24
-0.001019462,24
-0.001019362,24
-0.001019262,24
-0.001019162,24
-0.001019062,24
-0.001018962,24
-0.001018862,24
-0.001018762,24.3333
-0.001018662,24
-0.001018562,24.3333
-0.001018462,24
-0.001018362,24
-0.001018262,24
-0.001018162,24
-0.001018062,24.3333
-0.001017962,24
-0.001017862,24
-0.001017762,24.3333
-0.001017662,24
-0.001017562,24
-0.001017462,24
-0.001017362,24
-0.001017262,24
-0.001017162,24
-0.001017062,24
-0.001016962,24
-0.001016862,24
-0.001016762,24
-0.001016662,24
-0.001016562,24
-0.001016462,24
-0.001016362,24
-0.001016262,24.3333
-0.001016162,24
-0.001016062,24
-0.001015962,24
-0.001015862,24
-0.001015762,24
-0.001015662,24.3333
-0.001015562,24
-0.001015462,24
-0.001015362,24
-0.001015262,24
-0.001015162,24
-0.001015062,24
-0.001014962,24
-0.001014862,24
-0.001014762,24
-0.001014662,24
-0.001014562,24
-0.001014462,24
-0.001014362,24.3333
-0.001014262,24.3333
-0.001014162,24
-0.001014062,24
-0.001013962,24.3333
-0.001013862,24
-0.001013762,24
-0.001013662,24
-0.001013562,24
-0.001013462,24
-0.001013362,24
-0.001013262,24
-0.001013162,24
-0.001013062,24
-0.001012962,24
-0.001012862,24
-0.001012762,24
-0.001012662,24
-0.001012562,24
-0.001012462,24
-0.001012362,24.3333
-0.001012262,24
-0.001012162,24
-0.001012062,24.3333
-0.001011962,24
-0.001011862,24
-0.001011762,24
-0.001011662,24
-0.001011562,24
-0.001011462,24
-0.001011362,24
-0.001011262,24
-0.001011162,24
-0.001011062,24
-0.001010962,24
-0.001010862,24
-0.001010762,24
-0.001010662,24
-0.001010562,24
-0.001010462,24
-0.001010362,24.3333
-0.001010262,24.3333
-0.001010162,24
-0.001010062,24
-0.001009962,24
-0.001009862,24
-0.001009762,24
-0.001009662,24
-0.001009562,24
-0.001009462,24
-0.001009362,24
-0.001009262,24
-0.001009162,24
-0.001009062,24
-0.001008962,24
-0.001008862,24
-0.001008762,24
-0.001008662,24
-0.001008562,24
-0.001008462,24
-0.001008362,24
-0.001008262,24
-0.001008162,24
-0.001008062,24
-0.001007962,24
-0.001007862,24.3333
-0.001007762,24
-0.001007662,24
-0.001007562,24
-0.001007462,24
-0.001007362,24
-0.001007262,24
-0.001007162,24
-0.001007062,24
-0.001006962,24.3333
-0.001006862,24
-0.001006762,24
-0.001006662,24
-0.001006562,24
-0.001006462,24
-0.001006362,24
-0.001006262,24
-0.001006162,24
-0.001006062,24
-0.001005962,24.3333
-0.001005862,24
-0.001005762,24
-0.001005662,24
-0.001005562,24
-0.001005462,24
-0.001005362,24
-0.001005262,24.3333
-0.001005162,24
-0.001005062,24
-0.001004962,24
-0.001004862,24
-0.001004762,24
-0.001004662,24
-0.001004562,24.3333
-0.001004462,24
-0.001004362,24
-0.001004262,24
-0.001004162,24
-0.001004062,24
-0.001003962,24
-0.001003862,24
-0.001003762,24
-0.001003662,24
-0.001003562,24
-0.001003462,24
-0.001003362,24
-0.001003262,24
-0.001003162,24
-0.001003062,24.3333
-0.001002962,24.3333
-0.001002862,24
-0.001002762,24
-0.001002662,24.3333
-0.001002562,24.3333
-0.001002462,24
-0.001002362,24
-0.001002262,24.3333
-0.001002162,24
-0.001002062,24
-0.001001962,24
-0.001001862,24
-0.001001762,24
-0.001001662,24.3333
-0.001001562,24
-0.001001462,24.3333
-0.001001362,24
-0.001001262,24
-0.001001162,24
-0.001001062,24.3333
-0.001000962,24
-0.001000862,24
-0.001000762,24
-0.001000662,24
-0.001000562,24
-0.001000462,24.3333
-0.001000362,24.3333
-0.001000262,24
-0.001000162,24.3333
-0.001000062,24
-0.00099996202,24
-0.00099986202,24
-0.00099976202,24
-0.00099966202,24
-0.00099956202,24
-0.00099946202,24.3333
-0.00099936202,24
-0.00099926202,24.3333
-0.00099916202,24.3333
-0.00099906202,24
-0.00099896202,24
-0.00099886202,24.3333
-0.00099876202,24
-0.00099866202,24
-0.00099856202,24
-0.00099846202,24
-0.00099836202,24
-0.00099826202,24
-0.00099816202,24
-0.00099806202,24
-0.00099796202,24
-0.00099786202,24
-0.00099776202,23.6667
-0.00099766202,24
-0.00099756202,24
-0.00099746202,24
-0.00099736202,24.3333
-0.00099726202,24
-0.00099716202,24
-0.00099706202,24
-0.00099696202,24
-0.00099686202,24
-0.00099676202,24.3333
-0.00099666202,24
-0.00099656202,24
-0.00099646202,24
-0.00099636202,24
-0.00099626202,24
-0.00099616202,24
-0.00099606202,24
-0.00099596202,24
-0.00099586202,24
-0.00099576202,24
-0.00099566202,24
-0.00099556202,24
-0.00099546202,24
-0.00099536202,24.3333
-0.00099526202,24
-0.00099516202,24.3333
-0.00099506202,24
-0.00099496202,24
-0.00099486202,24
-0.00099476202,24
-0.00099466202,24
-0.00099456202,24
-0.00099446202,24
-0.00099436202,24.3333
-0.00099426202,24
-0.00099416202,24
-0.00099406202,24
-0.00099396202,24
-0.00099386202,24
-0.00099376202,24
-0.00099366202,24
-0.00099356202,24
-0.00099346202,24
-0.00099336202,24
-0.00099326202,24
-0.00099316202,24
-0.00099306202,24
